identifier,rank,cons,inhS,minS,cov,score,covQuality,div,runTime
Gr-Def-Dyn-InvSim-0.0-1.0,1,0.45,0.68,0.46,0.85,0.57,0.65,0.79,22.5
Gr-Def-Dyn-InvSim-0.0-1.0,2,0.33,0.67,0.33,0.85,0.5,0.59,0.76,22.5
Gr-Def-Dyn-InvSim-0.0-1.0,3,0.28,0.65,0.3,0.87,0.47,0.58,0.74,22.98
Gr-Def-Dyn-InvSim-0.0-1.0,4,0.27,0.63,0.27,0.88,0.45,0.58,0.72,23.43
Gr-Def-Dyn-InvSim-0.0-1.0,5,0.25,0.62,0.27,0.89,0.43,0.58,0.71,23.43
Gr-Def-Dyn-InvSim-0.0-1.0,6,0.29,0.64,0.3,0.89,0.47,0.59,0.71,23.43
Gr-Def-Dyn-InvSim-0.0-1.0,7,0.22,0.59,0.22,0.89,0.4,0.55,0.7,23.66
Gr-Def-Dyn-InvSim-0.0-1.0,8,0.24,0.64,0.28,0.89,0.44,0.59,0.7,23.66
Gr-Def-Dyn-InvSim-0.0-1.0,9,0.23,0.57,0.26,0.89,0.4,0.57,0.69,23.66
Gr-Def-Def-InvSim-0.6-0.0,0,0.91,0.94,0.87,0.56,0.93,0.71,0.0,2.86
Gr-Def-Def-InvSim-0.6-0.0,1,0.87,0.81,0.68,0.5,0.84,0.59,0.93,2.86
Gr-Def-Def-InvSim-0.6-0.0,2,0.88,0.73,0.75,0.37,0.81,0.56,0.95,2.86
Gr-Def-Def-InvSim-0.6-0.0,3,0.9,0.72,0.71,0.24,0.81,0.47,0.97,2.81
Gr-Def-Def-InvSim-0.6-0.0,4,0.91,0.67,0.75,0.19,0.79,0.47,0.97,2.71
Gr-Def-Def-InvSim-0.6-0.0,5,0.95,0.65,0.85,0.1,0.8,0.48,0.98,2.71
Gr-Def-Def-InvSim-0.6-0.0,6,0.96,0.63,0.86,0.08,0.79,0.47,0.98,2.71
Gr-Def-Def-InvSim-0.6-0.0,7,0.95,0.58,0.9,0.12,0.77,0.51,0.99,2.71
Gr-Def-Def-InvSim-0.6-0.0,8,0.92,0.53,0.8,0.11,0.73,0.45,0.99,2.71
Gr-Def-Def-InvSim-0.6-0.0,9,0.95,0.5,0.86,0.12,0.73,0.49,0.99,2.71
Gr-Def-Def-InvSim-0.4-0.9,0,0.61,0.85,0.56,0.97,0.73,0.76,0.0,10.45
Gr-Def-Def-InvSim-0.4-0.9,1,0.48,0.68,0.46,0.96,0.58,0.71,0.68,10.45
Gr-Def-Def-InvSim-0.4-0.9,2,0.39,0.65,0.37,0.96,0.52,0.66,0.67,10.47
Gr-Def-Def-InvSim-0.4-0.9,3,0.27,0.66,0.35,0.95,0.47,0.65,0.66,10.02
Gr-Def-Def-InvSim-0.4-0.9,4,0.29,0.65,0.31,0.95,0.47,0.63,0.65,10.02
Gr-Def-Def-InvSim-0.4-0.9,5,0.25,0.59,0.28,0.95,0.42,0.61,0.65,10.02
Gr-Def-Def-InvSim-0.4-0.9,6,0.26,0.63,0.28,0.95,0.45,0.62,0.64,10.02
Gr-Def-Def-InvSim-0.4-0.9,7,0.23,0.63,0.34,0.95,0.43,0.64,0.63,10.02
Gr-Def-Def-InvSim-0.4-0.9,8,0.25,0.62,0.24,0.95,0.43,0.59,0.64,9.78
Gr-Def-Def-InvSim-0.4-0.9,9,0.24,0.61,0.28,0.95,0.42,0.62,0.63,9.78
Gr-Def-Def-InvSim-0.4-0.0,0,0.69,0.88,0.65,0.79,0.78,0.72,0.0,5.66
Gr-Def-Def-InvSim-0.4-0.0,1,0.75,0.74,0.63,0.61,0.75,0.62,0.91,5.66
Gr-Def-Def-InvSim-0.4-0.0,2,0.73,0.65,0.64,0.48,0.69,0.56,0.92,5.56
Gr-Def-Def-InvSim-0.4-0.0,3,0.8,0.62,0.73,0.31,0.71,0.52,0.93,5.05
Gr-Def-Def-InvSim-0.4-0.0,4,0.9,0.61,0.87,0.22,0.76,0.55,0.94,5.05
Gr-Def-Def-InvSim-0.4-0.0,5,0.84,0.54,0.69,0.17,0.69,0.43,0.96,5.05
Gr-Def-Def-InvSim-0.4-0.0,6,0.87,0.56,0.75,0.17,0.71,0.46,0.96,5.05
Gr-Def-Def-InvSim-0.4-0.0,7,0.82,0.54,0.67,0.13,0.68,0.4,0.96,4.73
Gr-Def-Def-InvSim-0.4-0.0,8,0.78,0.47,0.63,0.19,0.62,0.41,0.98,4.15
Gr-Def-Def-InvSim-0.4-0.0,9,0.89,0.43,0.8,0.11,0.66,0.45,0.98,3.65
Gr-Def-Def-InvSim-0.0-1.0,0,0.49,0.84,0.53,1.0,0.66,0.77,0.0,10.59
Gr-Def-Def-InvSim-0.0-1.0,1,0.42,0.68,0.43,1.0,0.55,0.72,0.63,10.59
Gr-Def-Def-InvSim-0.0-1.0,2,0.32,0.65,0.34,1.0,0.48,0.67,0.63,10.58
Gr-Def-Def-InvSim-0.0-1.0,3,0.23,0.66,0.34,1.0,0.45,0.67,0.62,10.14
Gr-Def-Def-InvSim-0.0-1.0,4,0.29,0.65,0.3,1.0,0.47,0.65,0.61,10.14
Gr-Def-Def-InvSim-0.0-1.0,5,0.24,0.6,0.26,1.0,0.42,0.63,0.6,10.14
Gr-Def-Def-InvSim-0.0-1.0,6,0.25,0.63,0.29,1.0,0.44,0.65,0.59,10.14
Gr-Def-Def-InvSim-0.0-1.0,7,0.24,0.65,0.31,1.0,0.44,0.65,0.59,10.14
Gr-Def-Def-InvSim-0.0-1.0,8,0.24,0.6,0.21,1.0,0.42,0.61,0.59,9.88
Gr-Def-Def-InvSim-0.0-1.0,9,0.23,0.61,0.26,1.0,0.42,0.63,0.59,9.88
GenZ-Divf-Dyn-InvSim-0.6-0.0,0,1.0,0.93,1.0,0.49,0.96,0.74,0.0,44.7
GenZ-Divf-Dyn-InvSim-0.6-0.0,1,1.0,0.85,0.99,0.47,0.92,0.73,0.76,44.7
GenZ-Divf-Dyn-InvSim-0.6-0.0,2,0.96,0.82,0.94,0.49,0.89,0.72,0.79,44.7
GenZ-Divf-Dyn-InvSim-0.6-0.0,3,0.98,0.73,0.97,0.48,0.85,0.73,0.82,45.72
GenZ-Divf-Dyn-InvSim-0.6-0.0,4,0.98,0.7,0.97,0.45,0.84,0.71,0.85,46.81
GenZ-Divf-Dyn-InvSim-0.6-0.0,5,0.97,0.68,0.94,0.46,0.82,0.7,0.86,46.81
GenZ-Divf-Dyn-InvSim-0.6-0.0,6,0.93,0.73,0.86,0.42,0.83,0.64,0.87,46.81
GenZ-Divf-Dyn-InvSim-0.6-0.0,7,0.94,0.67,0.89,0.32,0.81,0.61,0.89,47.9
GenZ-Divf-Dyn-InvSim-0.6-0.0,8,0.92,0.66,0.86,0.24,0.79,0.55,0.91,47.9
GenZ-Divf-Dyn-InvSim-0.6-0.0,9,0.86,0.72,0.71,0.25,0.79,0.48,0.92,47.9
GenZ-Divf-Dyn-InvSim-0.4-0.9,0,0.65,0.82,0.58,0.96,0.74,0.77,0.0,47.86
GenZ-Divf-Dyn-InvSim-0.4-0.9,1,0.62,0.76,0.56,0.96,0.69,0.76,0.4,47.86
GenZ-Divf-Dyn-InvSim-0.4-0.9,2,0.57,0.73,0.54,0.96,0.65,0.75,0.45,48.95
GenZ-Divf-Dyn-InvSim-0.4-0.9,3,0.54,0.71,0.52,0.96,0.63,0.74,0.49,50.0
GenZ-Divf-Dyn-InvSim-0.4-0.9,4,0.53,0.68,0.5,0.96,0.6,0.73,0.51,50.0
GenZ-Divf-Dyn-InvSim-0.4-0.9,5,0.46,0.69,0.48,0.96,0.58,0.72,0.52,50.0
GenZ-Divf-Dyn-InvSim-0.4-0.9,6,0.42,0.66,0.46,0.96,0.54,0.71,0.54,50.0
GenZ-Divf-Dyn-InvSim-0.4-0.9,7,0.36,0.65,0.43,0.95,0.51,0.69,0.55,50.0
GenZ-Divf-Dyn-InvSim-0.4-0.9,8,0.32,0.65,0.42,0.95,0.49,0.68,0.57,51.12
GenZ-Divf-Dyn-InvSim-0.4-0.9,9,0.28,0.62,0.41,0.94,0.45,0.67,0.59,52.25
GenZ-Divf-Dyn-InvSim-0.4-0.0,0,1.0,0.86,1.0,0.48,0.93,0.74,0.0,40.55
GenZ-Divf-Dyn-InvSim-0.4-0.0,1,0.94,0.79,0.93,0.56,0.86,0.74,0.78,40.55
GenZ-Divf-Dyn-InvSim-0.4-0.0,2,0.94,0.74,0.93,0.51,0.84,0.72,0.8,41.47
GenZ-Divf-Dyn-InvSim-0.4-0.0,3,0.94,0.67,0.93,0.5,0.8,0.71,0.83,42.38
GenZ-Divf-Dyn-InvSim-0.4-0.0,4,0.88,0.68,0.85,0.57,0.78,0.71,0.84,43.37
GenZ-Divf-Dyn-InvSim-0.4-0.0,5,0.9,0.66,0.88,0.54,0.78,0.71,0.85,44.4
GenZ-Divf-Dyn-InvSim-0.4-0.0,6,0.86,0.66,0.84,0.48,0.76,0.66,0.86,44.4
GenZ-Divf-Dyn-InvSim-0.4-0.0,7,0.86,0.69,0.8,0.36,0.77,0.58,0.88,44.4
GenZ-Divf-Dyn-InvSim-0.4-0.0,8,0.77,0.68,0.72,0.42,0.73,0.57,0.89,44.4
GenZ-Divf-Dyn-InvSim-0.4-0.0,9,0.73,0.63,0.65,0.42,0.68,0.54,0.9,45.46
GenZ-Divf-Dyn-InvSim-0.0-1.0,0,0.56,0.81,0.56,1.0,0.68,0.78,0.0,49.23
GenZ-Divf-Dyn-InvSim-0.0-1.0,1,0.54,0.76,0.53,1.0,0.65,0.77,0.35,49.23
GenZ-Divf-Dyn-InvSim-0.0-1.0,2,0.52,0.72,0.5,1.0,0.62,0.75,0.39,50.35
GenZ-Divf-Dyn-InvSim-0.0-1.0,3,0.49,0.7,0.5,1.0,0.59,0.75,0.43,51.45
GenZ-Divf-Dyn-InvSim-0.0-1.0,4,0.44,0.69,0.48,1.0,0.56,0.74,0.45,51.45
GenZ-Divf-Dyn-InvSim-0.0-1.0,5,0.4,0.7,0.46,1.0,0.55,0.73,0.47,51.45
GenZ-Divf-Dyn-InvSim-0.0-1.0,6,0.38,0.66,0.46,1.0,0.52,0.73,0.49,52.61
GenZ-Divf-Dyn-InvSim-0.0-1.0,7,0.33,0.64,0.43,1.0,0.49,0.71,0.51,52.61
GenZ-Divf-Dyn-InvSim-0.0-1.0,8,0.27,0.65,0.4,1.0,0.46,0.7,0.53,53.77
GenZ-Divf-Dyn-InvSim-0.0-1.0,9,0.27,0.62,0.34,1.0,0.44,0.67,0.54,53.77
GenZ-Divf-Def-InvSim-0.6-0.0,0,1.0,0.93,1.0,0.49,0.96,0.74,0.0,44.86
GenZ-Divf-Def-InvSim-0.6-0.0,1,1.0,0.85,0.99,0.47,0.92,0.73,0.76,44.86
GenZ-Divf-Def-InvSim-0.6-0.0,2,0.96,0.82,0.94,0.49,0.89,0.72,0.79,44.86
GenZ-Divf-Def-InvSim-0.6-0.0,3,0.98,0.73,0.97,0.48,0.85,0.73,0.82,45.88
GenZ-Divf-Def-InvSim-0.6-0.0,4,0.98,0.7,0.97,0.45,0.84,0.71,0.85,46.98
GenZ-Divf-Def-InvSim-0.6-0.0,5,0.96,0.68,0.94,0.46,0.82,0.7,0.86,46.98
GenZ-Divf-Def-InvSim-0.6-0.0,6,0.93,0.73,0.86,0.42,0.83,0.64,0.87,46.98
GenZ-Divf-Def-InvSim-0.6-0.0,7,0.94,0.67,0.89,0.32,0.81,0.61,0.89,48.1
GenZ-Divf-Def-InvSim-0.6-0.0,8,0.92,0.66,0.86,0.24,0.79,0.55,0.91,48.1
GenZ-Divf-Def-InvSim-0.6-0.0,9,0.86,0.72,0.71,0.25,0.79,0.48,0.92,48.1
GenZ-Divf-Def-InvSim-0.4-0.9,0,0.65,0.82,0.58,0.96,0.74,0.77,0.0,48.09
GenZ-Divf-Def-InvSim-0.4-0.9,1,0.62,0.76,0.56,0.96,0.69,0.76,0.4,48.09
GenZ-Divf-Def-InvSim-0.4-0.9,2,0.57,0.73,0.54,0.96,0.65,0.75,0.45,49.19
GenZ-Divf-Def-InvSim-0.4-0.9,3,0.55,0.71,0.52,0.96,0.63,0.74,0.49,50.17
GenZ-Divf-Def-InvSim-0.4-0.9,4,0.53,0.68,0.51,0.95,0.6,0.73,0.51,50.17
GenZ-Divf-Def-InvSim-0.4-0.9,5,0.47,0.69,0.48,0.96,0.58,0.72,0.52,50.17
GenZ-Divf-Def-InvSim-0.4-0.9,6,0.42,0.67,0.45,0.96,0.54,0.71,0.54,50.17
GenZ-Divf-Def-InvSim-0.4-0.9,7,0.37,0.65,0.44,0.95,0.51,0.7,0.55,50.17
GenZ-Divf-Def-InvSim-0.4-0.9,8,0.32,0.66,0.43,0.94,0.49,0.68,0.57,51.27
GenZ-Divf-Def-InvSim-0.4-0.9,9,0.3,0.61,0.39,0.95,0.45,0.67,0.59,52.4
GenZ-Divf-Def-InvSim-0.4-0.0,0,1.0,0.86,1.0,0.48,0.93,0.74,0.0,40.39
GenZ-Divf-Def-InvSim-0.4-0.0,1,0.94,0.79,0.93,0.56,0.86,0.74,0.78,40.39
GenZ-Divf-Def-InvSim-0.4-0.0,2,0.94,0.74,0.93,0.51,0.84,0.72,0.8,41.33
GenZ-Divf-Def-InvSim-0.4-0.0,3,0.94,0.67,0.93,0.5,0.8,0.71,0.83,42.24
GenZ-Divf-Def-InvSim-0.4-0.0,4,0.88,0.68,0.85,0.57,0.78,0.71,0.84,43.24
GenZ-Divf-Def-InvSim-0.4-0.0,5,0.9,0.66,0.88,0.53,0.78,0.71,0.85,44.27
GenZ-Divf-Def-InvSim-0.4-0.0,6,0.87,0.66,0.85,0.46,0.77,0.66,0.86,44.27
GenZ-Divf-Def-InvSim-0.4-0.0,7,0.84,0.7,0.79,0.38,0.77,0.58,0.88,44.27
GenZ-Divf-Def-InvSim-0.4-0.0,8,0.78,0.68,0.72,0.41,0.73,0.57,0.89,44.27
GenZ-Divf-Def-InvSim-0.4-0.0,9,0.73,0.63,0.66,0.42,0.68,0.54,0.9,45.33
GenZ-Divf-Def-InvSim-0.0-1.0,0,0.56,0.81,0.56,1.0,0.68,0.78,0.0,49.07
GenZ-Divf-Def-InvSim-0.0-1.0,1,0.54,0.75,0.53,1.0,0.65,0.77,0.34,49.07
GenZ-Divf-Def-InvSim-0.0-1.0,2,0.52,0.72,0.5,1.0,0.62,0.75,0.39,50.16
GenZ-Divf-Def-InvSim-0.0-1.0,3,0.49,0.7,0.5,1.0,0.59,0.75,0.43,51.24
GenZ-Divf-Def-InvSim-0.0-1.0,4,0.44,0.69,0.48,1.0,0.56,0.74,0.45,51.24
GenZ-Divf-Def-InvSim-0.0-1.0,5,0.4,0.7,0.46,1.0,0.55,0.73,0.47,51.24
GenZ-Divf-Def-InvSim-0.0-1.0,6,0.38,0.66,0.46,1.0,0.52,0.73,0.49,52.37
GenZ-Divf-Def-InvSim-0.0-1.0,7,0.33,0.64,0.43,1.0,0.49,0.71,0.5,52.37
GenZ-Divf-Def-InvSim-0.0-1.0,8,0.27,0.65,0.4,1.0,0.46,0.7,0.53,53.55
GenZ-Divf-Def-InvSim-0.0-1.0,9,0.27,0.62,0.34,1.0,0.44,0.67,0.54,53.55
GenQ-Divf-Def-InvSim-0.6-0.0,0,0.99,0.94,1.0,0.48,0.96,0.74,0.0,38.77
GenQ-Divf-Def-InvSim-0.6-0.0,1,0.99,0.82,1.0,0.44,0.91,0.72,0.86,38.77
GenQ-Divf-Def-InvSim-0.6-0.0,2,0.97,0.8,0.95,0.44,0.89,0.69,0.88,38.77
GenQ-Divf-Def-InvSim-0.6-0.0,3,0.99,0.75,0.97,0.38,0.87,0.68,0.89,39.63
GenQ-Divf-Def-InvSim-0.6-0.0,4,0.98,0.72,0.99,0.34,0.85,0.67,0.9,40.55
GenQ-Divf-Def-InvSim-0.6-0.0,5,0.98,0.68,0.98,0.27,0.83,0.63,0.92,40.55
GenQ-Divf-Def-InvSim-0.6-0.0,6,0.96,0.64,0.92,0.31,0.8,0.62,0.93,40.55
GenQ-Divf-Def-InvSim-0.6-0.0,7,0.93,0.62,0.89,0.29,0.77,0.59,0.94,40.55
GenQ-Divf-Def-InvSim-0.6-0.0,8,0.88,0.67,0.76,0.24,0.78,0.5,0.94,40.55
GenQ-Divf-Def-InvSim-0.6-0.0,9,0.85,0.62,0.65,0.2,0.73,0.42,0.95,41.49
GenQ-Divf-Def-InvSim-0.4-0.9,0,0.62,0.83,0.58,0.97,0.73,0.77,0.0,77.48
GenQ-Divf-Def-InvSim-0.4-0.9,1,0.56,0.74,0.56,0.96,0.65,0.76,0.41,77.48
GenQ-Divf-Def-InvSim-0.4-0.9,2,0.48,0.74,0.52,0.96,0.61,0.74,0.43,79.23
GenQ-Divf-Def-InvSim-0.4-0.9,3,0.42,0.73,0.5,0.96,0.58,0.73,0.48,81.02
GenQ-Divf-Def-InvSim-0.4-0.9,4,0.36,0.73,0.46,0.96,0.54,0.71,0.5,81.02
GenQ-Divf-Def-InvSim-0.4-0.9,5,0.3,0.69,0.48,0.95,0.5,0.71,0.52,81.02
GenQ-Divf-Def-InvSim-0.4-0.9,6,0.28,0.68,0.44,0.96,0.48,0.7,0.53,81.02
GenQ-Divf-Def-InvSim-0.4-0.9,7,0.27,0.67,0.39,0.95,0.47,0.67,0.55,81.02
GenQ-Divf-Def-InvSim-0.4-0.9,8,0.25,0.66,0.39,0.95,0.45,0.67,0.58,82.88
GenQ-Divf-Def-InvSim-0.4-0.9,9,0.23,0.63,0.33,0.95,0.43,0.64,0.6,84.8
GenQ-Divf-Def-InvSim-0.4-0.0,0,0.96,0.87,0.99,0.49,0.92,0.74,0.0,41.07
GenQ-Divf-Def-InvSim-0.4-0.0,1,0.96,0.76,0.95,0.5,0.86,0.73,0.85,41.07
GenQ-Divf-Def-InvSim-0.4-0.0,2,0.94,0.75,0.93,0.49,0.85,0.71,0.85,42.0
GenQ-Divf-Def-InvSim-0.4-0.0,3,0.93,0.76,0.92,0.4,0.84,0.66,0.87,42.95
GenQ-Divf-Def-InvSim-0.4-0.0,4,0.92,0.69,0.91,0.41,0.8,0.66,0.89,42.95
GenQ-Divf-Def-InvSim-0.4-0.0,5,0.87,0.64,0.89,0.43,0.76,0.66,0.9,42.95
GenQ-Divf-Def-InvSim-0.4-0.0,6,0.85,0.67,0.87,0.38,0.76,0.62,0.9,43.98
GenQ-Divf-Def-InvSim-0.4-0.0,7,0.78,0.69,0.78,0.37,0.73,0.58,0.91,43.98
GenQ-Divf-Def-InvSim-0.4-0.0,8,0.73,0.66,0.68,0.47,0.69,0.58,0.92,47.26
GenQ-Divf-Def-InvSim-0.4-0.0,9,0.64,0.65,0.61,0.48,0.64,0.54,0.92,48.49
GenQ-Divf-Def-InvSim-0.0-1.0,0,0.56,0.81,0.56,1.0,0.68,0.78,0.0,79.3
GenQ-Divf-Def-InvSim-0.0-1.0,1,0.49,0.75,0.52,1.0,0.62,0.76,0.29,79.3
GenQ-Divf-Def-InvSim-0.0-1.0,2,0.41,0.76,0.5,1.0,0.58,0.75,0.36,81.09
GenQ-Divf-Def-InvSim-0.0-1.0,3,0.39,0.72,0.47,1.0,0.56,0.74,0.42,82.93
GenQ-Divf-Def-InvSim-0.0-1.0,4,0.32,0.7,0.47,1.0,0.51,0.74,0.45,82.93
GenQ-Divf-Def-InvSim-0.0-1.0,5,0.29,0.7,0.44,1.0,0.49,0.72,0.48,82.93
GenQ-Divf-Def-InvSim-0.0-1.0,6,0.28,0.68,0.41,1.0,0.48,0.7,0.5,82.93
GenQ-Divf-Def-InvSim-0.0-1.0,7,0.26,0.66,0.4,1.0,0.46,0.7,0.51,82.93
GenQ-Divf-Def-InvSim-0.0-1.0,8,0.26,0.64,0.36,1.0,0.45,0.68,0.53,84.83
GenQ-Divf-Def-InvSim-0.0-1.0,9,0.25,0.61,0.31,1.0,0.43,0.65,0.55,86.8
